Violation Record Name,Test Score - School name,Proficiency,Violation counts,PSS Name,PSS_CITY,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_T,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT
YESHIVA OF STATEN ISLAND,STATEN ISLAND HEBREW,32.14%,2,MESIVTA TIFERETH JERUSALEM,NEW YORK,210,8,,260,2,0,0,0,0,100,10.65,18
MT CARMEL/HOLY ROSARY SCHOOL,MT CARMEL-HOLY ROSARY,33.18%,2,MOUNT CARMEL-HOLY ROSARY SCHOOL,NEW YORK,180,8,,157,1,0,0,46.49,46.49,1.27,13.08,1
OUR LADY OF REFUGE SCHOOL,OUR LADY OF REFUGE,51.96%,2,OUR LADY OF REFUGE SCHOOL,BRONX,180,7,,204,1,0,4.16,78.64,10.41,4.68,18.46,1
ST. IGNATIUS LOYOLA,ST IGNATIUS LOYOLA,95.79%,2,ST IGNATIUS LOYOLA SCHOOL,NEW YORK,176,6,,573,1,0.19,12.88,4.61,0.96,74.03,17.56,1
ST. JOSEPH THE WORKER CATHOLIC ACADEMY,ST JOSEPH THE WORKER,47.79%,2,ST JOSEPH THE WORKER CATHOLIC ACADEMY,BROOKLYN,180,8,,254,1,0,0,15.41,18.5,61.67,8.53,1
ST. ROSE OF LIMA SCHOOL,ST ROSE OF LIMA,59.82%,2,ST ROSE OF LIMA CATHOLIC ACADEMY,ROCKAWAY BEACH,177,7,,295,1,0,7.04,26.43,21.58,33.48,17.46,1
TALMUD TORAH TIFERES YECHIEL,TALMUD TORAH TIFERES YECHIEL,0.00%,2,TALMUD TORAH TIFERES YECHIEL D'ALEKSANDER INC,BROOKLYN,,,,258,2,0,0,0,0,100,28.14,18
WAKE-EDEN CHRISTIAN ACADEMY,BATTALION CHRISTIAN ACADEMY,72.76%,2,WAKE-EDEN CHRISTIAN ACADEMY,BRONX,180,6.5,,145,2,0,0,1.23,91.35,0,11.57,5
YESHIVA BETH HILLEL OF WILLIAMSBURG,YESHIVA BETH HILLEL,0.00%,2,YESHIVA BETH HILLEL OF WILLIAMSBURG,BROOKLYN,200,9,,205,2,0,0,0,0,100,13.08,18
YESHIVA TZEMACH,YESHIVA TZEMACH TZADIK VIZNIT,0.00%,2,YESHIVA TZEMACH TZADIK VIZNITZ,BROOKLYN,171,9,,164,2,0,0,0,0,100,7,18
