SchoolName,COUNTA of Level,School Type,Jewish,Catholic,Religious,Student Teacher Ratio,Students
CONGREGATION MACHNA SHALVA - YESHIVA VYELIPOL,4,1,1,0,1,6.17,92.0
CORLEARS SCHOOL,2,1,0,0,0,3.25,91.0
CRISTO REY NEW YORK HIGH SCHOOL,4,1,0,1,1,16.78,386.0
DARCHAI MENACHEM INC,2,1,1,0,1,9.27,153.0
DE LA SALLE ACADEMY,5,1,0,0,0,8.26,157.0
DIMITRIOS & GEORGIA KALIODIS PAROCHIAL SCHOOL,2,1,0,0,1,5.94,165.0
DIVINE MERCY CATHOLIC ACADEMY,2,1,0,1,1,16.16,260.0
EAST HARLEM SCHOOL AT EXODUS HOUSE,0,1,0,0,0,9.38,122.0
EISEK HATORAH,6,1,1,0,1,12.62,125.0
ELISABETH IRWIN HIGH SCHOOL FS (LREI),0,1,0,0,0,6.15,261.0
EPIPHANY LUTHERAN SCHOOL,2,1,0,0,1,7.7,96.0
FLATBUSH S.D.A. SCHOOL,2,1,0,0,1,6.06,44.0
FLIK @ COLLEGIATE SCHOOL,0,1,0,0,0,5.14,662.0
FONTBONNE HALL ACADEMY,3,1,0,1,1,10.89,342.0
FRIENDS SEMINARY FS (FS),0,1,0,0,1,7.03,791.0
GAN YISROEL,1,1,1,0,1,11.25,251.0
GRACE CHURCH HIGH SCHOOL FS (GCH),0,1,0,0,0,5.03,782.0
GREAT OAKS ELEMENTARY SCHOOL,3,1,0,0,1,7.93,96.0
GREEK AMERICAN INSTITUTE OF NEW YORK,2,1,0,0,1,9.1,177.0
HEBREW ACADEMY FOR SPECIAL CHILDREN,0,1,0,0,0,6.3,334.0
HEWITT SCHOOL,1,1,0,0,0,5.91,464.0
HOLY FAMILY SCHOOL,0,1,0,1,1,10.55,223.0
HOLY ROSARY SCHOOL,3,1,0,1,1,21.66,327.0
HOLY ROSARY SCHOOL,1,1,0,1,1,21.66,327.0
HORACE MANN LOWER SCHOOL,0,1,0,0,0,7.16,1192.0
HORACE MANN UPPER SCHOOL,0,1,0,0,0,7.16,1192.0
IMMACULATE CONCEPTION CATHOLIC ACADEMY,0,1,0,1,1,10.88,206.0
IMMACULATE CONCEPTION SCHOOL,2,1,0,1,1,13.61,300.0
IMMACULATE CONCEPTION SCHOOL,2,1,0,1,1,10.37,160.0
IMMACULATE CONCEPTION SCHOOL,2,1,0,1,1,15.41,258.0
INCARNATION SCHOOL,1,1,0,1,1,8.63,279.0
ISLAMIC CULTURAL CENTER SCHOOL,1,1,0,0,1,8.62,138.0
JEWISH INSTITUTE OF QUEENS,4,1,1,0,1,24.07,549.0
JOMERA DEVORAH HIGH SCHOOL,1,1,1,0,1,5.98,259.0
KEW FOREST SCHOOL,1,1,0,0,0,6.38,226.0
LEMAN MANHATTAN,0,1,0,0,0,,
LEMAN MANHATTAN PREPARATORY LOWER SCHOOL,0,1,0,0,0,,
LEXINGTON SCHOOL FOR THE DEAF,2,1,0,0,0,3.44,248.0
LINDEN SDA SCHOOL,4,1,0,0,1,11.07,155.0
LUTHERAN SCHOOL OF FLUSHING & BAYSIDE,0,1,0,0,1,8.12,104.0
LYCEE FRANCAIS DE NEW YORK SCHOOL,4,1,0,0,0,8.7,1142.0
LYCEUM KENNEDY FRENCH AMERICAN SCHOOL,4,1,0,0,0,7.01,162.0
MAGEN DAVID YESHIVA,1,1,1,0,1,,1204.0
MAGEN DAVID YESHIVAH HIGH SCHOOL,4,1,1,0,1,,1204.0
MANHATTAN CHRISTIAN ACADEMY,1,1,0,0,1,13.18,195.0
MANHATTAN COUNTRY SCHOOL,2,1,0,0,0,10.36,276.0
MARTIN LUTHER SCHOOL,7,1,0,0,1,11.17,199.0
MASORES BAIS YAAKOV,5,1,1,0,1,13.38,787.0
MERCAZ HATORAH OF BELLE HARBOR,1,1,1,0,1,3.93,35.0
MESILAS BAIS YAAKOV,2,1,1,0,1,7.97,279.0
MESIVTA TIFERETH JERUSALEM,3,1,1,0,1,10.65,260.0
MOORE CATHOLIC HIGH SCHOOL,1,1,0,1,1,15.4,422.0
MOSDOS CHASIDEI SQUARE,5,1,1,0,1,12.47,323.0
MOSS OUTPOST AT SAR HIGH SCHOOL,2,1,1,0,1,6.66,636.0
MOUNT ST. MICHAEL ACADEMY,5,1,0,1,1,11.4,696.0
MT CARMEL/HOLY ROSARY SCHOOL,2,1,0,1,1,13.08,157.0
MUSLIM CENTER JUNIOR HIGH SCHOOL,1,1,0,0,1,11.45,142.0
NAZARETH REGIONAL HIGH SCHOOL,0,1,0,1,1,17.5,315.0
NESIVOS BAIS YAAKOV,3,1,1,0,1,9.1,91.0
NESIVOS BAIS YAAKOV,3,1,1,0,1,42.03,227.0
NESIVOS BAIS YAAKOV,0,1,1,0,1,9.1,91.0
NESIVOS BAIS YAAKOV,0,1,1,0,1,42.03,227.0
NESIVOS BAIS YAAKOV,3,1,1,0,1,9.1,91.0
NESIVOS BAIS YAAKOV,3,1,1,0,1,42.03,227.0
NEW AMSTERDAM SCHOOL,0,1,0,0,0,2.41,35.0
NEW COVENANT CHRISTIAN SCHOOL,4,1,0,0,1,9.11,145.0
NEW COVENANT CHRISTIAN SCHOOL(Enter kitchen 1179 Boston Road Pre K),0,1,0,0,1,9.11,145.0
NEW GRACE CENTER,1,1,0,0,1,7.06,116.0
NIGHTINGALE-BAMFORD SCHOOL FS (NBS),0,1,0,0,0,6.87,674.0
NORD ANGLIA INTERNATIONAL SCHOOL,2,1,0,0,0,5.61,94.0
NOTRE DAME ACADEMY HIGH SCHOOL OF STATEN ISLAND,4,1,0,1,1,19.32,402.0
NOTRE DAME SCHOOL,0,1,0,1,1,19.51,363.0
NR CAFETERIA SERVICES: ST CATHARINE ACADEMY,1,1,0,1,1,16.49,348.0
NY INSTITUTE FOR SPECIAL EDUCATION,0,1,0,0,0,4.4,119.0
OUR LADY OF FATIMA SCHOOL,1,1,0,1,1,15.69,277.0
OUR LADY OF GRACE CATHOLIC ACADEMY,5,1,0,1,1,12.6,199.0
OUR LADY OF GRACE SCHOOL,3,1,0,1,1,23.6,356.0
OUR LADY OF HOPE CATHOLIC ACADEMY,0,1,0,1,1,18.85,544.0
OUR LADY OF LOURDES SCHOOL,4,1,0,1,1,11.86,172.0
OUR LADY OF MOUNT CARMEL SCHOOL,3,1,0,1,1,10.12,249.0
OUR LADY OF PERPETUAL HELP CATHOLIC ACADEMY OF BROOKLYN,3,1,0,1,1,15.45,377.0
OUR LADY OF REFUGE SCHOOL,2,1,0,1,1,18.46,204.0
OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,1,1,0,1,1,17.21,284.0
OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,1,1,0,1,1,15.89,334.0
PACKER COLLEGIATE INSTITUTE,1,1,0,0,0,14.66,110.0
PHYL'S ACADEMY PREP SCHOOL,3,1,0,0,0,17.46,228.0
POLY PREP COUNTRY DAY SCHOOL FS (PPC),4,1,0,0,0,8.45,1148.0
PRESTON HIGH SCHOOL,0,1,0,1,1,11.15,347.0
RABBI ARTHUR SCHNEIER PARK EAST DAY SCHOOL,3,1,1,0,1,6.44,191.0
RAMAZ UPPER SCHOOL,3,1,1,0,1,4.01,267.0
RAZI SCHOOL,3,1,0,0,1,5.07,134.0
REGIS HIGH SCHOOL FS (RGS),0,1,0,1,1,9.38,535.0
RUDOLF STEINER SCHOOL,4,1,0,0,0,6.95,256.0
SACRED HEART OF JESUS SCHOOL,4,1,0,1,1,18.5,435.0
SACRED HEART OF JESUS SCHOOL,4,1,0,1,1,9.07,209.0
SACRED HEART SCHOOL,1,1,0,1,1,18.5,435.0
SACRED HEART SCHOOL,1,1,0,1,1,9.07,209.0
SACRED HEART SCHOOL (ENTER SCHOOL ON NELSON AVE),3,1,0,1,1,18.5,435.0
SACRED HEART SCHOOL (ENTER SCHOOL ON NELSON AVE),3,1,0,1,1,9.07,209.0
"SAGE DINING SERVICES, INC @ THE ALLEN STEVENSON SCHOOL",2,1,0,0,0,6.37,389.0
SAINT FRANCES DE CHANTAL SCHOOL,1,1,0,1,1,21.09,364.0
SAINT FRANCIS XAVIER SCHOOL,0,1,0,1,1,15.33,259.0
SAINT JEAN BAPTISTE HIGH SCHOOL,2,1,0,1,1,15.28,321.0
SAINT LEO CATHOLIC ACADEMY,0,1,0,1,1,14.52,267.0
SAINT RAYMOND ELEMENTARY SCHOOL,1,1,0,1,1,17.29,619.0
SHIELD INSTITUTE,0,1,0,0,0,6.57,102.0
SHULAMITH SCHOOL FOR GIRLS OF BROOKLYN,1,1,1,0,1,11.62,186.0
ST JOSEPH HILL ACADEMY,5,1,0,1,1,14.47,388.0
ST JOSEPH HILL ACADEMY,5,1,0,1,1,13.12,591.0
ST LUKES SCHOOL FS (SLK),0,1,0,1,1,12.36,421.0
ST LUKES SCHOOL FS (SLK),0,1,0,0,1,6.82,344.0
ST MICHAEL CATHOLIC ACADEMY,0,1,0,1,1,12.06,173.0
ST. ANN'S SCHOOL,2,1,0,0,0,5.36,1097.0
ST. ANN'S SCHOOL,2,1,0,0,0,5.36,1097.0
ST. ATHANASIUS SCHOOL,1,1,0,1,1,17.47,373.0
ST. BARNABAS SCHOOL,2,1,0,1,1,18.63,205.0
St. BARTHOLOMEW CATHOLIC ACADEMY,1,1,0,1,1,17.34,170.0
ST. BENEDICT SCHOOL,2,1,0,1,1,19.45,331.0
ST. CHARLES BORROMEO SCHOOL,4,1,0,1,1,10.3,321.0
ST. CLAIRE SCHOOL,2,1,0,1,1,17.78,593.0
ST. CLARE SCHOOL,4,1,0,1,1,17.78,593.0
ST. EDMUND PREPARATORY HIGH SCHOOL,3,1,0,1,1,12.59,510.0
ST. ELIZABETH SCHOOL,0,1,0,1,1,12.22,320.0
ST. FRANCIS OF ASSISI CATHOLIC ACADEMY,0,1,0,1,1,14.91,237.0
ST. FRANCIS OF ASSISI CATHOLIC ACADEMY,0,1,0,1,1,20.73,310.0
ST. FRANCIS PREP,5,1,0,1,1,20.93,2420.0
ST. HELENA SCHOOL,3,1,0,1,1,19.11,172.0
ST. IGNATIUS LOYOLA,2,1,0,1,1,17.56,573.0
ST. JOSEPH THE WORKER CATHOLIC ACADEMY,2,1,0,1,1,8.53,254.0
ST. LUCY SCHOOL,4,1,0,1,1,19.54,368.0
ST. MARGARET OF CORTONA SCHOOL,3,1,0,1,1,22.22,266.0
ST. MARK CATHOLIC ACADEMY,0,1,0,1,1,18.62,350.0
ST. MARKS DAY SCHOOL,1,1,0,0,1,3.12,50.0
ST. NICHOLAS OF TOLENTINE SCHOOL,1,1,0,1,1,17.48,328.0
ST. PAUL SCHOOL,0,1,0,1,1,13.2,177.0
ST. PETER'S BOYS HIGH SCHOOL,1,1,0,1,1,18.62,447.0
ST. PHILIP NERI SCHOOL,3,1,0,1,1,17.58,314.0
ST. SAVIOUR SCHOOL,1,1,0,1,1,10.0,180.0
ST. THOMAS CHOIR SCHOOL,3,1,0,0,1,2.27,25.0
ST. THOMAS THE APOSTLE CATHOLIC ACADEMY,0,1,0,1,1,11.57,205.0
ST. VINCENT FERRER HIGH SCHOOL,3,1,0,1,1,14.4,373.0
ST.LGNATIUS LOYOLA PRESCHOOL,0,1,0,1,1,17.56,573.0
STATEN ISLAND ACADEMY,1,1,0,0,0,5.54,332.0
TALMUD TORAH D'RABINU YOEL,3,1,1,0,1,10.15,857.0
TALMUD TORAH IMREI CHAIM,4,1,1,0,1,11.56,752.0
TALMUD TORAH OF KASHO,4,1,1,0,1,9.48,328.0
TALMUD TORAH OHEL YOCHANON,1,1,1,0,1,15.8,879.0
TALMUD TORAH TIFERES YECHIEL,2,1,1,0,1,28.14,258.0
THE BIRCH WATHEN LENOX SCHOOL FS (BWL),4,1,0,0,0,2.69,404.0
THE BREARLEY SCHOOL,2,1,0,0,0,7.74,768.0
THE BREARLEY SCHOOL,2,1,0,0,0,7.74,768.0
THE BREARLEY SCHOOL,1,1,0,0,0,7.74,768.0
THE BREARLEY SCHOOL,1,1,0,0,0,7.74,768.0
THE BROOKLYN WALDORF SCHOOL,2,1,0,0,0,5.66,152.0
THE BROWNING SCHOOL FS (BRS),2,1,0,0,0,4.18,460.0
THE CAEDMON SCHOOL FS (CMS),2,1,0,0,0,4.1,180.0
THE CALHOUN SCHOOL,1,1,0,0,0,5.83,599.0
"THE CALHOUN SCHOOL, INC.",5,1,0,0,0,5.83,599.0
THE CHILD SCHOOL-LEGACY HIGH SCHOOL,2,1,0,0,0,8.37,289.0
THE DALTON SCHOOL,2,1,0,0,0,5.65,1321.0
THE DALTON SCHOOL - LOWER,0,1,0,0,0,5.65,1321.0
THE DWIGHT SCHOOL,4,1,0,0,0,5.79,921.0
THE ECOLE,0,1,0,0,0,7.16,249.0
THE GENEVA SCHOOL OF MANHATTAN,0,1,0,0,1,6.94,284.0
THE GERMAN SCHOOL OF BROOKLYN,6,1,0,0,0,7.16,43.0
THE HEWITT SCHOOL,0,1,0,0,0,5.91,464.0
THE LEARNING TREE SCHOOL,0,1,0,0,0,8.84,84.0
THE LORGE SCHOOL,2,1,0,0,0,7.07,92.0
THE MARY LOUIS ACADEMY,3,1,0,1,1,11.06,570.0
THE NURTURING CENTER AND ACADEMY,0,1,0,0,1,11.66,171.0
THE REECE SCHOOL,1,1,0,0,0,2.5,110.0
THE SCHOOL AT COLUMBIA UNIVERSITY,1,1,0,0,0,4.55,487.0
THE SPENCE SCHOOL,1,1,0,0,0,6.18,769.0
THE SPENCE SCHOOL,2,1,0,0,0,6.18,769.0
THE SPENCE SCHOOL,2,1,0,0,0,6.18,769.0
THE SPEYER LEGACY SCHOOL,1,1,0,0,0,6.46,314.0
THE STUDIO SCHOOL,0,1,0,0,0,9.29,73.0
THE TOWN SCHOOL,0,1,0,0,1,4.7,339.0
THE TRANSFIGURATION SCHOOL,2,1,0,1,1,12.94,167.0
TORAH ACADEMY FOR GIRLS,2,1,1,0,1,8.15,1790.0
TORAH VYIRAH OF BORO PARK,3,1,1,0,1,11.3,311.0
TRANSFIGURATION SCHOOL,1,1,0,1,1,12.94,167.0
TRANSFIGURATION UPPER SCHOOL,4,1,0,1,1,12.94,167.0
UNITED LUBAVITCHER YESHIVA,3,1,1,0,1,8.12,587.0
UNITED TALMUDICAL ACADEMY,4,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY,3,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY,1,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY,5,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY,2,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY,2,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY,1,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY,1,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY,2,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY OF BORO PARK,3,1,1,0,1,10.57,1982.0
UNITED TALMUDICAL ACADEMY TORAH V YIRAH,5,1,1,0,1,10.15,857.0
UNITED TALMUDICAL ACADEMY TORAH V YIRAH,5,1,1,0,1,11.3,311.0
UNITED TALMUDICAL ACADEMY TORAH V'YIRAH INC,4,1,1,0,1,10.15,857.0
UNITED TALMUDICAL ACADEMY TORAH V'YIRAH INC,4,1,1,0,1,11.3,311.0
VILLAGE COMMUNITY SCHOOL,2,1,0,0,0,6.2,314.0
WAKE-EDEN CHRISTIAN ACADEMY,2,1,0,0,1,11.57,145.0
WEST SIDE MONTESSORI SCHOOL FS (WSMS),1,1,0,0,0,2.25,184.0
XAVERIAN HIGH SCHOOL,3,1,0,1,1,17.75,1625.0
XAVIER HIGH SCHOOL,3,1,0,1,1,14.2,1010.0
YESHIVA BETH HILLEL OF WILLIAMSBURG,2,1,1,0,1,13.08,205.0
YESHIVA DARCHEI TORAH,6,1,1,0,1,25.2,2522.0
YESHIVA GEDOLAH OHR YISROEL,3,1,1,0,1,8.34,96.0
YESHIVA IMREI CHAIM VIZNITZ / BNOS MARGULIA,2,1,1,0,1,7.97,756.0
YESHIVA KARLIN STOLIN,1,1,1,0,1,8.6,548.0
YESHIVA KETANA OF QUEENS,3,1,1,0,1,12.17,415.0
YESHIVA OF CENTRAL QUEENS,4,1,1,0,1,6.57,933.0
YESHIVA OF CROWN HEIGHTS,1,1,1,0,1,11.94,324.0
YESHIVA OF TELSHE ALUMNI,4,1,1,0,1,6.78,95.0
YESHIVA OHEL MOSHE,2,1,1,0,1,1.0,59.0
YESHIVA TIFERES BUNIM,4,1,1,0,1,5.37,72.0
YESHIVA TIFERETH MOSHE DOV REVEL CENTER,6,1,1,0,1,14.36,517.0
YESHIVA TZEMACH,2,1,1,0,1,7.0,164.0
YESHIVA YESODA HATORAH,4,1,1,0,1,12.96,183.0
YESHIVA YESODE HATORAH,0,1,1,0,1,12.96,183.0
YESHIVAT LEV TORAH,4,1,1,0,1,6.94,156.0
YESHIVAT MEKOR HAIM,1,1,1,0,1,11.11,209.0
YESHIVAT OHR HAIIM,4,1,1,0,1,6.38,276.0
YESHIVAT SHAARE TORAH,5,1,1,0,1,10.58,199.0
YESHIVAT SHAARE TORAH,5,1,1,0,1,6.64,854.0
A. FANTIS PAROCHIAL SCHOOL,0,1,0,0,1,7.1,176.0
ABRAHAM JOSHUA HESCHEL FS (HES),0,1,1,0,1,6.06,978.0
ACADEMY OF MOUNT SAINT URSULA,0,1,0,1,1,15.62,289.0
ACADEMY OF ST. DOROTHY,3,1,0,1,1,18.63,191.0
ADAPT COMMUNITY NETWORK/UNITED CEREBRAL PALSY OF NYC,2,1,0,1,1,10.12,249.0
AHI EZER YESHIVA,4,1,1,0,1,8.68,176.0
AL IMAN SCHOOL,7,1,0,0,1,5.9,68.0
AL-BER INC ELBER ISLAMIC SCHOOL,0,1,0,0,1,8.5,57.0
AL-IHSAN ACADEMY,1,1,0,0,1,11.13,463.0
AL-MADINAH SCHOOL,5,1,0,0,1,15.24,812.0
AL-MAMOOR SCHOOL,1,1,0,0,1,10.56,255.0
AL-NOOR SCHOOL,1,1,0,0,1,9.31,568.0
ARCHBISHOP MOLLY HIGH SCHOOL,2,1,0,1,1,21.39,1506.0
ARISTA PREPARATORY ACADEMY,4,1,0,0,0,7.33,22.0
AVENUE SCHOOL,1,1,0,0,0,7.03,1838.0
BAIS RUCHEL SCHOOL OF BORO PARK,2,1,1,0,1,13.09,1982.0
BAIS RUCHEL SCHOOL OF BORO PARK,2,1,1,0,1,10.57,1982.0
BAIS SARAH SCHOOL,1,1,1,0,1,7.12,792.0
BAIS YAAKOV OF 18TH AVE,4,1,1,0,1,13.58,300.0
BAIS YAKOV DKHAL ADAS YEREIM,0,1,1,0,1,1.04,52.0
BARKAI YESHIVAH,4,1,1,0,1,5.44,391.0
BASIS INDEPENDENT MANHATTAN,2,1,0,0,0,4.46,140.0
BATTALION CHRISTIAN ACADEMY,3,1,0,0,1,9.5,57.0
BE`ER HAGOLAH INSTITUTE,1,1,1,0,1,9.47,439.0
BET YAAKOV ATERET TORAH,4,1,1,0,1,6.75,239.0
BETH CHANA SCHOOL,4,1,1,0,1,15.26,370.0
BETH CHANA SCHOOL FOR GIRLS,4,1,1,0,1,12.96,183.0
BETH JACOB ES,6,1,1,0,1,15.18,174.0
BETH JACOB SCHOOL FOR GIRLS,3,1,1,0,1,9.0,598.0
BETH RIVKAH HS,4,1,1,0,1,17.76,611.0
Blessed Sacrament School,0,1,0,1,1,17.72,204.0
BNOS CHAYIL,7,1,1,0,1,13.08,205.0
BNOS MALKA ACADEMY,5,1,1,0,1,12.49,412.0
BNOS MALKE BELZ,0,1,1,0,1,22.78,1194.0
BNOS YAKOV SCHOOL,2,1,1,0,1,10.44,682.0
BNOS YAKOV SCHOOL FOR GIRLS,6,1,1,0,1,31.25,700.0
BRITISH INTERNATIONAL SCHOOL,0,1,0,0,0,5.04,262.0
BRONX ARTS AND SCIENCE CHARTER SCHOOL,0,1,0,1,1,20.29,487.0
BRONX CHARTER SCHOOL FIR EXCELLENCE 4,1,1,0,1,1,11.4,696.0
BRONX CHARTER SCHOOL FOR EXCELLENCE,1,1,0,0,1,8.11,73.0
BROOKLYN DREAMS CHARTER SCHOOL,2,1,1,0,1,9.0,598.0
BROOKLYN FRIENDS SCHOOL,2,1,0,0,1,4.42,657.0
BROOKLYN INDEPENDENT,3,1,0,0,0,16.8,84.0
BROOKLYN S.D.A. ELEMENTARY SCHOOL,2,1,0,0,1,13.16,89.0
CAMBRIA CENTER FOR THE GIFTED CHILD,1,1,0,0,0,13.92,346.0
Cardinal Hayes,2,1,0,1,1,17.0,748.0
CARDINAL SPELLMAN HS,2,1,0,1,1,16.91,1118.0
CATHEDRAL SCHOOL,2,1,0,0,1,2.77,277.0
CHALLENGE PREPARATORY CHARTER HIGH SCHOOL,1,1,0,0,1,3.33,10.0
CHALLENGE PREPARATORY MIDDLE CHARTER SCHOOL,0,1,0,0,1,3.33,10.0
CHRIST THE KING HIGH SCHOOL,5,1,0,1,1,17.68,665.0
CHRIST THE KING SCHOOL,2,1,0,1,1,10.43,272.0
CONGREGATION BNOS CHAYA,2,1,1,0,1,20.71,323.0
CONGREGATION MACHNA SHALVA,3,1,1,0,1,6.75,239.0
CONGREGATION MACHNA SHALVA,4,1,1,0,1,,1781.0
DARCHAI MENACHEM INC,2,1,1,0,1,9.27,153.0
DIMITRIOS & GEORGIA KALIODIS PAROCHIAL SCHOOL,2,1,0,0,1,5.94,165.0
DIVINE MERCY CATHOLIC ACADEMY,2,1,0,1,1,16.16,260.0
EBENEZER PREP SCHOOL,2,1,0,0,1,4.57,43.0
ELISABETH IRWIN HIGH SCHOOL FS (LREI),0,1,0,0,0,6.15,261.0
ETHICAL CULTURE FIELDSTON SCHOOL,1,1,0,0,0,3.89,411.0
FLATBUSH S.D.A. SCHOOL,2,1,0,0,1,6.06,44.0
FONTBONNE HALL ACADEMY,3,1,0,1,1,10.89,342.0
FORDHAM PREP HIGH SCHOOL,0,1,0,1,1,11.08,951.0
GIOVANNA'S KITCHEN,1,1,0,1,1,10.06,151.0
GRACE CHURCH HIGH SCHOOL FS (GCH),0,1,0,0,0,5.03,782.0
GREAT OAKS ELEMENTARY SCHOOL,3,1,0,0,1,7.93,96.0
GREEK AMERICAN INSTITUTE OF NEW YORK,2,1,0,0,1,9.1,177.0
GREEN IVY SCHOOL,0,1,0,0,0,7.0,200.0
GREEN IVY SCHOOL,0,1,0,0,0,2.0,218.0
HANSON PLACE ELEMENTARY SCHOOL,0,1,0,0,0,16.8,84.0
HEBREW ACADEMY FOR SPECIAL CHILDREN,0,1,0,0,0,6.3,334.0
HOLY CROSS HIGH SCHOOL,1,1,0,1,1,20.93,2420.0
HOLY CROSS SCHOOL,0,1,0,1,1,23.0,184.0
HOLY FAMILY SCHOOL,0,1,0,1,1,10.55,223.0
HOLY ROSARY SCHOOL,3,1,0,1,1,21.66,327.0
HORACE MANN LOWER SCHOOL,0,1,0,0,0,9.52,457.0
IMMACULATE CONCEPTION CATHOLIC ACADEMY,0,1,0,1,1,10.88,206.0
JEWISH INSTITUTE OF QUEENS,4,1,1,0,1,24.07,549.0
JOEL BRAVERMAN H. S.,5,1,1,0,1,11.03,669.0
JOMERA DEVORAH HIGH SCHOOL,1,1,1,0,1,5.98,259.0
KEW FOREST SCHOOL,1,1,0,0,0,6.38,226.0
LEMAN MANHATTAN PREPARATORY LOWER SCHOOL,0,1,0,0,0,,
LINDEN SDA SCHOOL,4,1,0,0,1,11.07,155.0
LUTHERAN SCHOOL OF FLUSHING & BAYSIDE,0,1,0,0,1,8.12,104.0
MAGEN DAVID YESHIVA,1,1,1,0,1,6.02,1671.0
MAGEN DAVID YESHIVAH HIGH SCHOOL,4,1,1,0,1,,1204.0
MARTIN LUTHER SCHOOL,7,1,0,0,1,11.17,199.0
MARYMOUNT SCHOOL OF NEW YORK,4,1,0,1,1,6.75,743.0
MASORES BAIS YAAKOV,5,1,1,0,1,13.38,787.0
MCCLANCY MEMORIAL HS,1,1,0,1,1,15.81,710.0
MERKAZ,1,1,1,0,1,13.38,787.0
MESILAS BAIS YAAKOV,2,1,1,0,1,7.97,279.0
MESIVTA MEOR HATORAH,3,1,1,0,1,22.78,1194.0
MESIVTA NACHLAS YAKOV OF ADAS YEREIM,4,1,0,0,0,39.3,911.0
MESIVTA RABBI CHAIM BERLIN H.S.,1,1,1,0,1,10.58,199.0
MESIVTA RABBI CHAIM BERLIN H.S.,1,1,1,0,1,6.64,854.0
MONSEIGNOR FARRELL,2,1,0,1,1,14.77,783.0
MONSIGNOR SCANLAN HS,1,1,0,1,1,20.29,487.0
MOORE CATHOLIC HIGH SCHOOL,1,1,0,1,1,15.4,422.0
MOSDOS CHASIDA SQUARE T.T.Y.,5,1,1,0,1,12.47,323.0
MOUNT ST. MICHAEL ACADEMY,5,1,0,1,1,11.4,696.0
MT CARMEL/HOLY ROSARY SCHOOL,2,1,0,1,1,13.08,157.0
MUSLIM CENTER JUNIOR HIGH SCHOOL,1,1,0,0,1,11.45,142.0
NESIVOS BAIS YAAKOV,0,1,1,0,1,9.66,75.0
NESIVOS BAIS YAAKOV,3,1,1,0,1,9.1,91.0
